Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean,Ed_variance,Ed_not_zero_mean,Ed_not_zero_variance,Ed_region_mean,Ed_region_rc_mean,Ed_region_variance,Ed_region_max,Ed_region_min,Ed_region_top_50,Ed_region_top_25,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
A549,4,OSI,8,4,11.75,2,0.2348143756389618,0.011495453305542469,0.272261381149292,0.0031333155930042267,0.2088194489479065,2.287503719329834,0.001685905852355063,0.34073466062545776,0.0962119922041893,0.24106158316135406,0.2624175548553467,1.4620234966278076,1.6401935,1.6365731,700,33748,34448,0.876596,-0.028683953,0.7653637,0.9768895506858826,0.9639731,2.707308,5.940197,0,1.5304606,2.287503719329834,3.9928386211395264,1.5540997982025146,0.2538483440876007,2.7160158,5.940197,0,1.5532088
A549,4,OSI,8,4,11.75,3,0.08330429345369339,0.005124146118760109,0.12240820378065109,0.0027428334578871727,0.06594319641590118,0.5199301242828369,0.0002492181956768036,0.1125304326415062,0.026851501315832138,0.07841277122497559,0.0870460569858551,0.3655429184436798,0.69629127,0.6947157,200,41784,41984,0.19944942,-0.449421227,0.32524455,0.9931683540344238,0.9223111,0.97187805,4.218092,0,0.8009416,0.5199301242828369,0.8104994297027588,0.3847896158695221,0.005672039929777384,0.9740413,4.218092,0,0.80376583
A549,4,OSI,8,4,11.75,4,0.02433333545923233,0.0015728493453934789,0.0785643458366394,0.0008175898692570627,0.028572702780365944,0.14382869005203247,0.0014182663289830089,0.11320599913597107,0,0.05714540556073189,0.0841207355260849,0.24896200001239777,0.38707834,0.3854119,300,24564,24864,0.39626375,-0.350400329,0.16146675,0.9900709986686707,0.96234304,0.22520207,1.8117573,0,0.13627438,0.14382869005203247,0.47445547580718994,0,0.032824598252773285,0.22619587,1.8117573,0,0.13745598
A549,4,OSI,8,4,11.75,5,0.1941843032836914,0.0020018015056848526,0.1941843032836914,0.0020018015056848526,0.13482166826725006,2.199061632156372,0.00046044960618019104,0.2074567675590515,0.07492907345294952,0.15140856802463531,0.16313625872135162,1.562756061553955,2.4194427,2.4048133,400,23024,23424,0.72066927,0.35450154542922974,0.39161527,0.9929150938987732,0.9720728,3.4995232,6.8213434,1.5894673,0.6420522,2.199061632156372,2.8113951683044434,1.5894672870635986,0.07263772189617157,3.5221162,6.8213434,1.7616442,0.6220527
A549,4,OSI,8,4,11.75,6,0.5552699565887451,0.02033812738955021,0.5850064754486084,0.004031244199723005,0.4909912049770355,4.7435383796691895,0.00047468984848819673,0.5672615170478821,0.44706839323043823,0.508658766746521,0.5191090106964111,4.4497971534729,5.5471997,5.54006,155,23669,23824,0.9996046,0.37942034006118774,0.7571205,0.9989078640937805,0.98954254,5.8352556,8.91792,0,2.2839842,4.7435383796691895,4.992056846618652,4.213490962982178,0.029820097610354424,5.842405,8.91792,0,2.29089
A549,4,OSI,8,4,11.75,7,0.10515913367271423,0.007493946701288223,0.16424499452114105,0.0020000217482447624,0.16846027970314026,2.60304594039917,0.0003756043442990631,0.2344190627336502,0.12815167009830475,0.18365471065044403,0.19310374557971954,1.6488178968429565,0.9730822,0.975839,100,24412,24512,0.8664481,0.3815196752548218,0.94807637,0.9983413219451904,0.9465012,1.4434772,4.8014855,0,1.3455464,2.60304594039917,3.0688352584838867,2.292131185531616,0.025130750611424446,1.4387271,4.8014855,0,1.3454247
A549,4,OSI,8,4,11.75,8,0.18684059381484985,0.002726132981479168,0.19163009524345398,0.0018782040569931269,0.1411857008934021,1.3623805046081543,0.0006491206586360931,0.22424961626529694,0.05755208060145378,0.16144156455993652,0.1751481145620346,0.9183869361877441,1.1667702,1.1620388,580,29868,30448,0.97590446,0.6073271036148071,0.72821546,0.9938260912895203,0.9822651,1.8991872,3.9903698,0,0.30243686,1.3623805046081543,1.8943594694137573,1.0772699117660522,0.022305205464363098,1.9096115,3.9903698,0,0.30217227
A549,4,OSI,8,4,11.75,9,0.05385018512606621,0.0034435023553669453,0.10308374464511871,0.0015166118973866105,0.08056499063968658,0.8342925906181335,0.0009582478669472039,0.1569918394088745,0.005469402763992548,0.10544733703136444,0.11861160397529602,0.49669504165649414,0.7361106,0.734405,300,41812,42112,0.62625086,-0.248668581,0.5014659,0.9878249764442444,0.9718118,0.87106276,4.445699,0,0.8815269,0.8342925906181335,1.4180543422698975,0.5173816680908203,0.036306869238615036,0.87132657,4.445699,0,0.8875815
A549,4,OSI,9,4,11.75,1,0.19959065318107605,0.007967512123286724,0.20747698843479156,0.006646093912422657,0.11801803857088089,0.8617199659347534,0.0007316270493902266,0.22131435573101044,0.06204258278012276,0.13754796981811523,0.15344372391700745,0.6087365746498108,1.2986366,1.2915428,600,57752,58352,0.03605111,-0.14370352,0.10153483,0.9775369167327881,0.8581224,2.2566059,6.939257,0,1.7374101,0.8617199659347534,1.4789999723434448,0.520710825920105,0.03653842210769653,2.2710977,6.939257,0,1.7346562
A549,4,OSI,9,4,11.75,2,0.19806860387325287,0.0029211656656116247,0.19809657335281372,0.002916035708039999,0.14396141469478607,0.9810209274291992,0.0018533173715695739,0.2578791677951813,0.03706919401884079,0.1785379946231842,0.19711630046367645,0.7306711077690125,1.1037307,1.0958269,600,27720,28320,0.70640504,-0.18108809,0.22240268,0.9645435214042664,0.95787436,1.5539354,3.184275,0.47770372,0.16723305,0.9810209274291992,1.6371564865112305,0.4939731955528259,0.061375707387924194,1.5663364,3.184275,0.47770372,0.16226599
A549,4,OSI,9,4,11.75,3,0.06571683287620544,0.004073056858032942,0.11423434317111969,0.00153775152284652,0.09065888077020645,1.688077688217163,0.0005035068024881184,0.15148217976093292,0.039109669625759125,0.10862322896718979,0.12040606141090393,1.030442476272583,0.7027877,0.70514697,200,27576,27776,0.6143819,0.34150150418281555,0.80367845,0.9917282462120056,0.8484194,0.93130636,4.972281,0,1.0689124,1.688077688217163,2.428905963897705,1.2464669942855835,0.050695423036813736,0.9258177,4.972281,0,1.0721135
